"","s-42","s-43","s-44","s-82","s-83","s-84","s-52","s-53","s-54","s-92","s-93","s-94"
"CKB",-0.412384461696315,2.78804083764575,0.344713147563192,-0.391888215557139,0.877518466600997,0.222254831363706,-0.560540149376258,-0.558277076480074,-0.53909626678556,-0.63780558045302,-0.578723356007168,-0.553812176818115
"ITGA1",1.25703903257761,0.546175013572455,-0.208107477920859,-0.113732773120332,0.313405402387612,-0.164542284006757,2.29018288861577,-0.967640632649986,-0.955808456897056,-0.0807549903783511,-0.994892169086669,-0.921323553093433
"SLC24A3",-0.760343678072901,-0.861124390900723,-0.841685218959825,-0.791811387722671,-0.8576908165794,-0.832154754705817,-0.0631210637428295,0.86565651190309,0.561569840829187,0.729674299964566,2.21656187585604,0.634468782131286
"CGNL1",-0.747776957342265,-0.655613415069361,-0.572637083687152,-0.669440468273031,-0.722076739219733,-0.698176555111255,-0.485941085063074,1.31345913715303,1.71986836498438,-0.519684286371955,1.71182917688398,0.326189911116434
"COL24A1",-0.623113772820233,-0.616890390619327,-0.533430284244798,-0.491832922766458,-0.617039809447347,-0.603931486117757,-0.623113772820233,0.200763881808991,2.20424361802424,-0.546508819288452,0.477296272799858,1.77355748549152
"GRIK4",-0.64434736161392,0.816224983260216,0.435032924691368,-0.636202913916233,1.96826217320578,1.77420545833051,-0.64434736161392,-0.604279653212225,-0.64434736161392,-0.616888789711077,-0.638205637413747,-0.565106460392826
"NGEF",-0.655287035888783,-0.586505150860841,-0.621399949996448,-0.6428858528158,-0.620478637518034,-0.561062184731608,-0.638399857832285,2.26299076147383,1.42450447221495,-0.362617535376695,1.01867198184816,-0.0175310105164555
"LMCD1",-0.381476019807098,0.872717448883916,0.301082025008888,-0.125730966847189,0.80768230731932,1.74592158336046,-0.247299758354348,-1.08255538299698,-0.988631665690144,1.29189415095466,-1.11047143455345,-1.08313228727804
"HMGN2P46",-0.31859317958229,-0.885716558976791,-0.864980729654413,-0.84746032680112,-0.866725231305232,-0.867743841354809,1.13024561452656,0.049341138405087,0.754568284160502,2.27806225389224,0.155315473024281,0.283687103665976
"PPARG",-0.751510151819312,-0.72631545911852,-0.118458142892383,-0.751510151819312,-0.729652563672545,-0.71699574197552,-0.658723963665805,0.62286752378952,1.98727950483562,-0.636648334974539,1.36546254659499,1.1142049347178
"TREM1",-0.595497397955215,-0.584025659348235,-0.531914266252714,-0.576882494116,-0.588033190886591,-0.595497397955215,-0.303987972720937,1.31238862104586,2.64249507140959,-0.360150557457302,0.23973327371172,-0.0586280294749613
"MYOCD",-0.566062854792007,1.60580624613719,0.946337305762581,-0.284057956721492,0.033294378475347,2.14620415311233,-0.575008890488963,-0.660947583994353,-0.656118432915887,-0.653561783763804,-0.667942290405472,-0.667942290405472
"CXCL10",-0.647537076822013,2.65308444935616,-0.33871824640875,-0.583028115206992,1.15131795963544,-0.0764808689983064,0.0573385540519016,-0.799786910139347,-0.624006963627966,-0.224699328402557,-0.789688568015846,0.222205114578271
"CXCL13",-0.517983870504099,-0.498439205574502,-0.452987044118411,-0.517983870504099,-0.498908458600195,-0.457741488776556,-0.507187102833078,0.132117988381515,2.92167553916054,-0.464521760445534,0.707710876871302,0.154248396943116
"FRMPD1",-0.611714691516854,0.636212129582855,0.12703717488254,-0.526898787960344,1.42885496920153,2.42250369740452,-0.568403261360789,-0.550863797745135,-0.552936176632515,-0.611714691516854,-0.587729829063544,-0.604346735275406
"LIX1",-0.587801554373933,-0.587801554373933,-0.587801554373933,-0.587801554373933,-0.585474153829958,-0.580451351258565,-0.556185897849455,0.454453428065017,0.273000587261697,-0.568232738037099,2.38418400859907,1.52991233454503
"LRRC4",-0.660343008644688,-0.566849592043986,-0.556703892993602,-0.407493953639953,-0.589371790959444,-0.516255962073154,-0.384891417411619,1.74457868252656,0.0405676140045053,-0.361979513010116,2.40949799296506,-0.150755158719556
"LINC01268",-0.777016284894782,0.686875901532858,0.453405587742942,-0.387076310411769,1.99088134934086,1.76385417821236,-0.538961548108238,-0.830593789176153,-0.37259054744848,-0.620254489536899,-0.848454605557515,-0.520069441695179
"ZNF385C",-0.731914604498333,0.934894260975289,0.374812866092394,1.56546396448379,0.744968719726775,1.70356500896865,-0.660051422539349,-0.85874849128679,-0.805979400134103,-0.698640439213578,-0.809566605472151,-0.758803857102595
"GUCA1A",-0.636906845822034,-0.636906845822034,-0.636906845822034,-0.636906845822034,-0.636906845822034,-0.636906845822034,-0.494594476993735,1.33396386450947,0.666747644459012,-0.566438352317124,2.34208390796491,0.539678487309668
"T",-0.653055763251011,1.93725096243894,0.623122498878447,-0.653055763251011,1.50721212965382,1.11062416808664,-0.653055763251011,-0.653055763251011,-0.606819416300768,-0.653055763251011,-0.653055763251011,-0.653055763251011
"TMPRSS6",-0.120750198670918,0.674780346671969,0.912697514928205,-0.865865445648675,0.372150444876632,2.08813087861908,0.849434219639361,-0.95700599817331,-0.991284722680526,-0.05163046326268,-0.93874104592558,-0.97191553037356
"LRP4-AS1",-0.606048891881544,-0.532600572027422,-0.606048891881544,-0.606048891881544,-0.582153931971104,-0.606048891881544,-0.403179093870601,1.32397255686362,0.632878899131299,-0.505594313258622,2.51713028522224,-0.0262582625632341
"LAMA4",-0.622740150519402,-0.622740150519402,-0.622740150519402,-0.603783180104263,-0.622740150519402,-0.622740150519402,-0.596925699355493,1.28911796617976,2.32004303872468,-0.622740150519402,0.778213216936219,0.549775560735502
"NRG4",-0.198994574073703,0.600412687535496,-0.245070595507004,0.046139121344619,2.49460704689622,1.28999845063474,-0.648751668338138,-0.673892577149391,-0.673892577149391,-0.642770159894662,-0.673892577149391,-0.673892577149391
"MMP12",-0.527870933063532,-0.527870933063532,-0.527870933063532,-0.527870933063532,-0.527870933063532,-0.527870933063532,-0.527870933063532,1.68350576173494,2.41181015598517,-0.527870933063532,-0.172448312369073,0.300099859157217
"PTGDR",-0.464750691277772,-0.464750691277772,-0.445103686550949,-0.464750691277772,-0.458984645015479,-0.464750691277772,-0.445169044856309,0.242686856320967,3.02315393364255,-0.464750691277772,0.0774423214394229,0.329727721408657
"NPPA",-0.556003483555549,-0.556003483555549,-0.556003483555549,-0.556003483555549,-0.556003483555549,-0.556003483555549,-0.556003483555549,0.741733408873633,-0.0685155915796592,-0.556003483555549,2.53833617129296,1.23647387985746
"C18orf61",-0.609818602914754,-0.594776936490896,-0.576470693237965,-0.609818602914754,-0.600031584861838,-0.609818602914754,-0.609818602914754,0.410837176539515,0.641882235496046,-0.404095141112459,2.61120737707988,0.950721978246731
"TSPAN7",-0.725914908272188,-0.682635022812449,-0.725914908272188,-0.55034193419939,-0.711834652521711,-0.725914908272188,-0.6302810624487,1.03038675211048,1.17220471904531,-0.37075394622365,2.1339142408319,0.787085631034762
"F12",-0.6382923436274,-0.591576653081189,-0.482936821347683,-0.486683574095095,-0.623094316565552,-0.5182994763203,-0.380227823598227,0.82234972571773,0.149708898729255,-0.510507119452934,2.79155072256143,0.468008781079969
"CHI3L1",-0.349996132881895,-0.0740973613546615,3.15179016819638,-0.349996132881895,-0.3029612603919,0.00897946863399334,-0.349996132881895,-0.349996132881895,-0.333738084910548,-0.349996132881895,-0.349996132881895,-0.349996132881895
"HSPA12B",-0.692854120435276,-0.681638511719944,-0.692854120435276,-0.674654832176813,-0.692854120435276,-0.681330856772795,-0.420244578696523,0.277095943259992,2.10708568078289,-0.416743427974949,1.35203301955407,1.2169599250499
"STYK1",-0.738038633469634,-0.738038633469634,-0.675692810610411,-0.738038633469634,-0.738038633469634,-0.738038633469634,-0.427346526438757,0.608907935938107,1.22260768226436,-0.199582157949813,2.18688040604078,0.974418638103909
"DNASE1L3",0.310046956211103,0.73585034000157,0.0277963667915084,0.503620062554344,0.812488767076445,1.89452427602641,0.713183719445292,-1.12536143996133,-1.04572932910432,-0.481878345275024,-1.24070329348632,-1.10383808027969
"DUSP15",-0.960070792685799,1.62373780354256,0.459787944622846,0.329985115893221,1.00849294309859,1.67192454642723,-0.374497526468629,-0.871923515537455,-0.811066562652611,-0.235178321166694,-0.906024650609115,-0.935166984464139
"S100A14",-0.677558449371495,1.60240682979984,0.38762051790666,-0.520441153196522,1.75032010627357,1.33227050195849,-0.232928118948479,-0.65406280985228,-0.746906856142447,-0.746906856142447,-0.746906856142447,-0.746906856142447
"EPB41L4B",-0.793124330796213,-0.45581616196976,-0.606168277685206,1.98919518691988,1.41989607978453,0.881919809962913,-0.109899225629373,-0.793124330796213,-0.793124330796213,0.783097507164132,-0.793124330796213,-0.729727595362269
"HPD",1.04935527521383,1.48721097329601,-0.206302265120334,-0.639553825442612,2.14116792675704,-0.14438378285205,-0.267288288646019,-0.855550442553893,-0.7357996897684,-0.272973564477244,-0.790397263371734,-0.765485053034596
"ALDH1A2",-0.617556813172833,-0.617556813172833,-0.617556813172833,-0.617556813172833,-0.617556813172833,-0.617556813172833,-0.617556813172833,2.34610328716214,0.384397882687653,-0.495696276785592,1.39944908916447,0.688643709981168
"KLHL30",-0.94955697276735,-0.894986326893623,-0.94955697276735,-0.861006548094564,-0.914050009557589,-0.837421830289489,0.0753950521187118,0.684077095956821,1.1369069571958,0.767065527083059,1.35420929458178,1.38892473343378
"LOC101927482",-0.933830630369411,-0.911674330676185,-0.83558802079131,-0.754068258530113,-0.904998172718381,-0.911066562040157,0.241158883418682,0.716984450748165,1.90653960175501,1.12677088193719,0.39464483092557,0.86512732634094
"GAS6-AS2",-0.873421917078563,-0.873421917078563,-0.873421917078563,-0.873421917078563,-0.873421917078563,-0.873421917078563,-0.258191707808263,1.03173066926424,1.3630166274629,0.649788832729699,1.21945060249096,1.23473647833185
"NT5C1A",-0.462551022474154,-0.172999289772568,-0.388480273134422,-0.462551022474154,1.70404751032855,2.50095104015872,-0.462551022474154,-0.432916632912381,-0.462551022474154,-0.462551022474154,-0.435296219822973,-0.462551022474154
"KCNK12",-0.688269772934036,-0.588803849524524,-0.688269772934036,-0.634469482702521,-0.666696924096961,-0.688269772934036,-0.102174026885301,2.17907285034763,1.4742193310909,-0.416192550656182,1.09684427006515,-0.276990298836082
"ADIRF",-0.667804761862734,2.85721490019866,0.113704640000302,-0.18380802788529,0.56720578858088,-0.222055303916288,0.47060159068549,-0.595650604880986,-0.667804761862734,-0.519462104899961,-0.667804761862734,-0.484336592294606
"CARD10",-0.532766503380486,-0.491962950202018,-0.532766503380486,-0.532766503380486,-0.506217243456244,-0.0716153301065058,-0.532766503380486,1.25876765405515,-0.349226453795402,-0.532766503380486,2.71265840991459,0.111428430492864
"ZNF488",-0.723423139810537,-0.723423139810537,-0.649497541479602,-0.723423139810537,-0.658335597072496,-0.654905115750983,-0.281345088278805,1.62789407953478,1.90135798997096,-0.632213644811626,1.11267091574407,0.404643421575309
"CNRIP1",-0.569233527496766,-0.569233527496766,-0.569233527496766,-0.569233527496766,-0.569233527496766,-0.569233527496766,-0.569233527496766,-0.254664515345243,2.08950506116417,-0.338259789101605,0.505345357285904,1.98270857847413
"CNKSR3",-0.757674718755415,0.992410285130384,1.01791883356123,-0.757674718755415,1.77065007577454,1.46708258662814,-0.757674718755415,-0.678743229452183,-0.223971300136681,-0.757674718755415,-0.757674718755415,-0.556973657728349
"COLCA2",-0.706820499192302,-0.706820499192302,-0.706820499192302,-0.442289827836726,-0.689141907492745,-0.678904969112658,1.63462123220761,-0.110348112099601,-0.0651894166857757,2.3774978126609,0.157603474921196,-0.0633867889853003
