"","cluster","cluster_col"
"CCL24","C3","#BEBADA"
"ITK","C4","#FB8072"
"LINC00312","C4","#FB8072"
"APOD","C4","#FB8072"
"GAL3ST4","C4","#FB8072"
"SPP1","C4","#FB8072"
"TCN2","C4","#FB8072"
"CXCL8","C4","#FB8072"
"MMP2","C4","#FB8072"
"KCNJ5","C4","#FB8072"
"CHI3L1","C4","#FB8072"
"MMP9","C4","#FB8072"
"PTGDS","C4","#FB8072"
"CDA","C4","#FB8072"
"C3","C4","#FB8072"
"FSIP2","C4","#FB8072"
"FCN1","C4","#FB8072"
"FCAR","C4","#FB8072"
"CATIP-AS1","C4","#FB8072"
"RBM20","C4","#FB8072"
"COL6A1","C4","#FB8072"
"OGDHL","C4","#FB8072"
"NMRK2","C4","#FB8072"
"QPRT","C4","#FB8072"
"CSPG4","C4","#FB8072"
"PRKCDBP","C4","#FB8072"
"SERPIND1","C4","#FB8072"
"CXCL10","C4","#FB8072"
"CKB","C4","#FB8072"
"ADIRF","C4","#FB8072"
"HPD","C4","#FB8072"
"KCTD19","C4","#FB8072"
"LOC100507600","C4","#FB8072"
"LOR","C4","#FB8072"
"LHX3","C4","#FB8072"
"NRG4","C4","#FB8072"
"C15orf27","C4","#FB8072"
"PLA2G2C","C4","#FB8072"
"MIR146A","C4","#FB8072"
"LOC101928766","C4","#FB8072"
"ZNF385C","C4","#FB8072"
"GRIN2A","C4","#FB8072"
"LOC100131289","C4","#FB8072"
"NSG1","C4","#FB8072"
"MYOCD","C4","#FB8072"
"MRC2","C4","#FB8072"
"SCNN1G","C4","#FB8072"
"SLC24A4","C4","#FB8072"
"ASMT","C4","#FB8072"
"CACNA1B","C4","#FB8072"
"ITGAD","C4","#FB8072"
"NT5C1A","C4","#FB8072"
"RARRES2","C4","#FB8072"
"CREB3L1","C4","#FB8072"
"GRIN2D","C4","#FB8072"
"IL12B","C4","#FB8072"
"TIGIT","C4","#FB8072"
"FRMPD1","C4","#FB8072"
"CNKSR3","C4","#FB8072"
"LTK","C4","#FB8072"
"GRIK4","C4","#FB8072"
"LINC01268","C4","#FB8072"
"P2RY2","C4","#FB8072"
"PADI2","C4","#FB8072"
"DUSP15","C4","#FB8072"
"CAV2","C4","#FB8072"
"CXCL9","C4","#FB8072"
"TNFSF11","C4","#FB8072"
"VWA5B2","C4","#FB8072"
"MAB21L3","C4","#FB8072"
"S100A14","C4","#FB8072"
"T","C4","#FB8072"
"ATP8B1","C4","#FB8072"
"LMCD1","C4","#FB8072"
"CX3CL1","C4","#FB8072"
"TMPRSS6","C4","#FB8072"
"DNASE1L3","C4","#FB8072"
