replicate,logFC,AveExpr,t,P.Value,adj.P.Val,B
105371512,-0.6319567206973682,2.410095474688569,-3.0432884918334557,0.003022899691608519,0.9997782268743401,-3.1231731054218725
80854,-0.34816291547087186,5.2691604507452094,-2.6326010685351555,0.009883343241234833,0.9997782268743401,-3.1493077737754076
643680,-0.5545685721054543,3.61087254596675,-2.771551937945323,0.006707271567882023,0.9997782268743401,-3.1508435450854533
3176,-0.45981215744056136,4.425064157094312,-2.6598298347025064,0.009170240118877909,0.9997782268743401,-3.1627404313178937
160335,-0.43026909948984704,3.722850482605457,-2.7476007325361373,0.007177750292693192,0.9997782268743401,-3.1714667556017258
5331,-0.29982750816982007,3.5888751944798867,-2.746392797251407,0.00720225653378725,0.9997782268743401,-3.1824238423604934
4035,-0.49370019954888633,7.762463491785867,-2.6928798506736706,0.008367519213892336,0.9997782268743401,-3.1837540689373354
55144,-0.18159709441809646,5.562009705155678,-2.6042944572013087,0.010677529420247758,0.9997782268743401,-3.1850106183293327
7325,-0.32200779767276577,3.2498686813387674,-2.7970007065457203,0.00623837111236728,0.9997782268743401,-3.187951266803356
220979,-0.41187009965294585,2.463212874140866,-2.96741169611032,0.0037956169332715593,0.9997782268743401,-3.1901112088088954
2330,-0.2783521056006584,3.74592346996541,-2.7059400143655292,0.008068314587392544,0.9997782268743401,-3.1981026842140228
1808,-0.4059408967491356,6.513561697246987,-2.610993635754865,0.01048453463838419,0.9997782268743401,-3.2105450754964813
5027,-0.43871885571804636,5.2617286907042775,-2.583231676558983,0.011305401522290303,0.9997782268743401,-3.2166054667882946
219972,-0.3328540690434423,9.697276671481154,-2.7790739188224722,0.006565431896251613,0.9997782268743401,-3.2307309417586234
8942,-0.41742694416507486,5.0984901946037935,-2.574901673365337,0.011562769201167129,0.9997782268743401,-3.2322312200351133
285505,-0.5081829731731817,3.916916409354261,-2.643651618709984,0.009588094595246992,0.9997782268743401,-3.2544310401744863
23129,-0.4056647500655677,5.467558586692102,-2.545964639846422,0.012498361229048327,0.9997782268743401,-3.2629286950684344
9315,-0.356455191409474,3.432562236122337,-2.703411294273354,0.008125476062272992,0.9997782268743401,-3.267183728974639
6038,-0.5764126925661635,2.32048004784092,-2.9311826756697656,0.004225568260280401,0.9997782268743401,-3.2713324615473858
51816,-0.3704728696355062,8.210198021479444,-2.6434289079252657,0.009593965247156968,0.9997782268743401,-3.271671026817219
54453,-0.4370337283412251,4.3004481271984005,-2.5730693685373325,0.01162008470541696,0.9997782268743401,-3.2881246863627442
216,-0.467745655641413,4.699636343714382,-2.543515420904509,0.012580593132052814,0.9997782268743401,-3.2929006920417994
