"","ID","Gene.symbol"
"8128939",8128939,"TRAF3IP2"
"8070269",8070269,"DSCR3"
"7905631",7905631,"INTS3"
"7951652",7951652,""
"7995477",7995477,""
"8076851",8076851,"ALG12"
"8156759",8156759,""
"8116579",8116579,"FOXQ1"
"8091243",8091243,"PCOLCE2"
"8148930",8148930,""
"8020239",8020239,""
"8156599",8156599,""
"8025601",8025601,"ICAM1"
"7903619",7903619,"SARS"
"8180312",8180312,"SKP1"
"7949412",7949412,"LTBP3"
"8135273",8135273,""
"8042416",8042416,"ARHGAP25"
"7935968",7935968,"LDB1"
"8134431",8134431,""
"8012099",8012099,"PHF23"
"7919582",7919582,""
"7939341",7939341,"CD44"
"8108977",8108977,""
"8164521",8164521,"SH3GLB2"
"7969048",7969048,""
"7940051",7940051,"ZDHHC5"
"8152355",8152355,"SYBU"
"7899029",7899029,"MAN1C1"
"8121275",8121275,""
"8118890",8118890,"SCUBE3"
"8145797",8145797,""
"8025458",8025458,"ZNF317"
"7951662",7951662,"CRYAB"
"7966299",7966299,""
"8127664",8127664,""
"8059902",8059902,"LOC93463"
"8171418",8171418,"PIGA"
"8039491",8039491,"UBE2S"
"8033392",8033392,"XAB2"
"8144810",8144810,""
"8030105",8030105,"FGF21"
"8006317",8006317,""
"8075160",8075160,""
"8099591",8099591,""
"8142270",8142270,"NRCAM"
"8096955",8096955,""
"8057613",8057613,""
"8140443",8140443,"FDPSP2///FDPS"
"8171087",8171087,"PPP2R3B"
"8019561",8019561,""
"8108847",8108847,"RNF14"
"7953395",7953395,"COPS7A"
"8012013",8012013,"CLEC10A"
"7945999",7945999,"OR51F1"
"8158177",8158177,"C9orf16"
"7992670",7992670,"PDPK1"
"8125713",8125713,"TAPBP"
"8020549",8020549,""
"7992987",7992987,"HMOX2"
"7991772",7991772,"HBQ1"
"8095800",8095800,""
"8038624",8038624,"C19orf48"
"8142096",8142096,"ATXN7L1"
"7904742",7904742,"LIX1L"
"7978676",7978676,"NKX2-1"
"8172876",8172876,"SMC1A"
"8100476",8100476,""
"8106818",8106818,"LOC731157"
"8146322",8146322,""
"8021540",8021540,""
"8093839",8093839,"NSG1"
"7964677",7964677,"C12orf66"
"8120937",8120937,"RIPPLY2"
"8014841",8014841,"MED1"
"7955533",7955533,"SCN8A"
"7953341",7953341,"TAPBPL"
"7956908",7956908,""
"8096331",8096331,""
"8051273",8051273,""
"7914496",7914496,""
"8170662",8170662,"SLC6A8"
"8117922",8117922,"PRR3"
"8035859",8035859,""
"7997633",7997633,"USP10"
"7897482",7897482,"PIK3CD"
"8019046",8019046,"EIF4A3"
"8007435",8007435,"RUNDC1"
"7903719",7903719,"AMPD2"
"8002262",8002262,""
"8026533",8026533,"HSH2D"
"8064098",8064098,""
"8103411",8103411,""
"7921930",7921930,""
"8032284",8032284,"UQCR11"
"8173364",8173364,""
"8070169",8070169,""
"8108603",8108603,"HARS2"
"8085811",8085811,""
"8122885",8122885,""
"8024900",8024900,"UHRF1"
"8153876",8153876,"ARHGAP39"
"8042705",8042705,"SMYD5"
"8001147",8001147,"ISY1-RAB43///RAB43"
"8129067",8129067,""
"8135458",8135458,"CBLL1"
"8121782",8121782,""
"7963935",7963935,"DNAJC14"
"8149275",8149275,""
"8124756",8124756,"PPP1R10"
"8178358",8178358,"PPP1R10"
"8179664",8179664,"PPP1R10"
"7966749",7966749,"TESC"
"7905700",7905700,"UBAP2L"
"8158686",8158686,"FUBP3"
"8078350",8078350,"TGFBR2"
"8025826",8025826,""
"8127145",8127145,"ELOVL5"
"7998033",7998033,"TCF25"
"8043429",8043429,""
"8053720",8053720,""
"8020139",8020139,""
"8041138",8041138,"SPDYA"
"7912224",7912224,"SLC2A5"
"8016868",8016868,""
"8149116",8149116,"DEFA1B///DEFA3///DEFA1"
"8149126",8149126,"DEFA1B///DEFA3///DEFA1"
"8149137",8149137,"DEFA1B///DEFA3///DEFA1"
"8154307",8154307,"TPD52L3"
"7932962",7932962,""
"7920333",7920333,""
"8158783",8158783,"NUP214"
"8168303",8168303,"TAF1"
"8170468",8170468,"HMGB3"
"8001477",8001477,"AMFR"
"8142059",8142059,""
"7945944",7945944,"RHOG"
"7907058",7907058,"POU2F1"
"7977906",7977906,"ACIN1"
"8030881",8030881,"PPP2R1A"
"8056570",8056570,""
"8073214",8073214,"TNRC6B"
"8117426",8117426,"HIST1H2BH///HIST1H2BH"
"8154729",8154729,""
"8127484",8127484,"B3GAT2"
"7969438",7969438,"LMO7"
"7905233",7905233,"ADAMTSL4"
"8119609",8119609,"CNPY3"
"8019367",8019367,"RFNG"
"8074647",8074647,"PI4KA"
"8150578",8150578,""
"8062687",8062687,""
"8035249",8035249,"NR2F6"
"8151991",8151991,""
"8047788",8047788,"ADAM23"
"8116635",8116635,"BPHL"
"8066459",8066459,""
"8033813",8033813,"FBXL12"
"7940987",7940987,""
"7921110",7921110,"ISG20L2"
"8142098",8142098,"ATXN7L1"
"7916926",7916926,""
"8094056",8094056,"HTRA3"
"8103745",8103745,"HAND2"
"8122720",8122720,"ULBP2"
