"","Gene.symbol","logFC","P.Value"
"7923233","KIF21B",0.242725348901097,0.00180568934847397
"8023727","DSEL",-0.612090002747255,0.00180779687909705
"8120176","C6orf141",0.210232560439558,0.00181842971584279
"8107090","",0.380056898351648,0.00182302568482788
"8098379","WDR17",-0.361543478021979,0.00182814453862015
"8130645","PARK2",-0.312032552197806,0.00184075037447846
"8073474","MEI1",0.24725462087912,0.00184496514332726
"8112020","MOCS2",-0.298581881868136,0.00185227551119658
"8150076","DUSP4",0.243257189560437,0.00189046274710602
"8045339","",0.257874681318682,0.00189315805458758
"8145691","UBXN8",-0.264437236263734,0.00189873209172753
"7907466","DARS2",-0.258735725274727,0.00190371968976426
"8125463","HLA-DQB2///HLA-DQB1",0.563003052197802,0.00190400705451786
"8042259","MDH1",-0.266214255494507,0.00191260598413933
"7941563","",0.413424019230768,0.0019277129498056
"8115570","IL12B",0.252369373626373,0.00192957676691911
"7950654","ALG8",-0.277230978021981,0.00193495272368806
"7927267","FAM35DP///FAM35BP///FAM35A",-0.308945673076925,0.00194135109307392
"8031277","1060P11.3///KIR2DS2///KIR2DL5B///KIR3DL3///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS4///KIR2DS3///KIR2DS1///KIR2DL4///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS3///KIR2DL1",0.550057247252743,0.00194205792859504
"8138997","TBX20",0.284916497252748,0.00195727213106227
"8018177","CD300C",0.364803074175824,0.00196637742188888
"8000263","COG7",-0.235838585164839,0.00197942272551716
"8031293","KIR2DS2///KIR3DL3///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS4///KIR2DS1///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1",0.86425891208791,0.00201409926553304
"7967872","",0.352117057692308,0.0020362464537821
"7939818","PTPMT1",-0.172665989010993,0.00203713079869186
"8052908","CLEC4F",0.419946417582416,0.00204249623522649
"8076894","MLC1",0.258247876373624,0.00204817687667346
"8136940","TCAF2P1///TCAF2",0.291992541208789,0.00205018813791358
"8010086","METTL23",-0.250485769230773,0.00205175609587151
"8075217","AP1B1",-0.178291656593409,0.0020528359365307
"8072735","APOL1",0.423510612637362,0.00207325458919863
"8022410","",0.236411862637362,0.00208125194069846
"8152597","MRPL13",-0.228189868131869,0.00210385070423388
"8114938","JAKMIP2",0.241480645604395,0.00213029512834583
"8162529","",0.331905266483515,0.00213035914457783
"8032815","UBXN6",-0.244925708791211,0.0021357874657307
"8117760","HLA-F///HLA-B",0.432221706043952,0.00215262678217616
"8118149","LST1",0.599210035714282,0.00215633591896635
"8177988","LST1",0.599210035714282,0.00215633591896635
"8179268","LST1",0.599210035714282,0.00215633591896635
"8132922","MRPS17",-0.230546799450551,0.00216706171195723
"8095221","PAICS",-0.317186923076921,0.00216769131094945
"8037422","LYPD5",0.397788159340656,0.00216891678902902
"8046360","METAP1D",-0.287464219780222,0.00217227657447503
"7921003","C1orf61",0.272328362637361,0.00220227074962911
"8158918","GTF3C4",-0.200667159340664,0.00220835162673301
"7981161","SYNE3",0.312437598901096,0.00222967869020301
"8018814","",0.300796810439559,0.00222981275604253
"8121782","",0.375506920329673,0.00223603422526924
"8024532","ZNF57",-0.22734490659341,0.00224522281847667
"7927649","CISD1",-0.251034733516486,0.00224545047600773
"8075709","APOL4",0.507007304945052,0.00225255480144331
"8036351","ZNF850",0.204728843406594,0.00226243620991875
"8178833","HLA-DOB",0.678515785714282,0.00229009848722686
"7986639","",1.23215353296703,0.00229261377983077
"8031260","1060P11.3///KIR2DS2///KIR2DL5B///KIR3DL3///KIR2DL5A///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS4///KIR2DS3///KIR2DS1///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS5///KIR2DS3///KIR2DL1",0.371427788461539,0.00232495991168743
"8042221","",0.318753321428572,0.00233358127070865
"7931951","SFMBT2",0.361759434065934,0.00233624469844343
"7906652","NIT1",-0.328072266483519,0.00235843835624048
"8107594","SNCAIP",0.378173541208789,0.00236355875382875
"7921873","FCGR3B///FCGR3A",0.969572994505494,0.00239636475830522
"8149638","DOK2",0.496477109890108,0.00244331487895601
"7962935","PRKAG1",-0.198008571428572,0.00244339671087691
"8113879","",0.301971634615382,0.00245823816086545
"7903980","C1orf162",0.710878359890112,0.00247685426392557
"8053311","",0.404495645604396,0.00248929179066656
"8091809","",0.469670956043954,0.00248976551587444
"7977119","APOPT1",-0.20830778021978,0.00249623511351744
"8100347","SCFD2",-0.247361398351652,0.00251894452724797
"7977058","EIF5",-0.252748247252752,0.00252425783491368
"7898721","",0.357770395604394,0.00252822187324254
"7999382","",0.353751906593405,0.00253596261358591
"8173148","FAM104B",-0.268658184065938,0.00253716605420247
"8178790","GPSM3",0.362868118131866,0.00254886445228098
"8081316","TFG",-0.268941024725281,0.00256441879914688
"7964677","C12orf66",-0.206761197802201,0.0025728813155028
"8081890","PLA1A",0.625875417582408,0.00258850923575334
"8029006","AXL",0.281885997252745,0.00259554629646876
"8078008","LSM3",-0.309101914835169,0.00260549456103666
"8040831","ATRAID",-0.164728681318685,0.00262871024898471
"8057034","PRKRA",-0.198878568681321,0.00263852998389609
"7947531","COMMD9",-0.234883832417584,0.00264152057850769
"8057463","CERKL",-0.440002725274727,0.00266417423614011
"7972737","LIG4",-0.223551953296704,0.00266444022328768
"7981249","SETD3",-0.244481796703299,0.00266477001875202
"8145914","BAG4",-0.179761945054945,0.00267090708299953
"7986503","DNM1P46///DNM1P46",0.344564148351645,0.00269790871017484
"7915425","ZMYND12",-0.425914813186814,0.00270789881951488
"7981481","C14orf2///C14orf2",-0.243254398351649,0.00271605967641263
