"","Gene.symbol","logFC","P.Value"
"7986049","CRTC3",0.552027709090909,1.50777100892816e-05
"7932227","NMT2",0.738145636363637,1.51231520574564e-05
"8158446","NUP188",0.703095800000002,1.51541435827625e-05
"8031102","PRPF31",0.376095181818183,1.61294569469803e-05
"7930008","NOLC1",0.768908690909092,1.63346231904449e-05
"8112668","GCNT4",1.23574383636363,1.6423683437937e-05
"8163063","CTNNAL1",-1.24958463636364,1.68887828750198e-05
"7981032","DDX24",0.607798509090914,1.6935544004008e-05
"8001658","CFAP20",0.552076181818181,1.69420540200279e-05
"8171248","ANOS1",-0.406834218181817,1.72776639983746e-05
"8054945","BIN1",0.514440745454547,1.75974448319179e-05
"8076547","TTLL1",0.42679629090909,1.77338940463944e-05
"7921344","ELL2",-0.728274054545457,1.77357005197235e-05
"7980828","CCDC88C",0.864214581818185,1.78425937875917e-05
"8048120","ATIC",0.837205618181821,1.80762479005677e-05
"8097670","MMAA",0.775141727272726,1.82194030500825e-05
"7920725","SCAMP3",0.436195490909091,1.85873130417801e-05
"8120215","PAQR8",0.43499970909091,1.8616445227701e-05
"8145201","CCAR2",0.458938327272728,1.88134714755746e-05
"8174761","NKAPP1",0.411663327272729,1.90637454621036e-05
"7948696","MTA2",0.538102363636364,1.91403082870918e-05
"8128956","FYN",0.849725090909091,2.01771170030779e-05
"8145770","",0.701016981818182,2.03262373573246e-05
"8032576","AES",0.703043436363638,2.07669321517689e-05
"8173269","LAS1L",0.459753909090911,2.07845460049997e-05
"7939265","NAT10",0.69909130909091,2.11526544034571e-05
"8150014","INTS9",0.604744072727274,2.12493736967263e-05
"8180100","HLA-DPA1",0.910250363636365,2.13850668920732e-05
"8040985","ZNF512",0.725210454545458,2.16705068182375e-05
"8139131","AMPH",-0.836561418181817,2.16824519060156e-05
"8169263","VSIG1",1.13981449090909,2.18655011830601e-05
"7986789","ATP10A",0.566222818181818,2.24551948907543e-05
"8125556","HLA-DPA1",0.994121454545454,2.25304196393739e-05
"8178891","HLA-DPA1",0.994121454545454,2.25304196393739e-05
"7976726","EVL",0.689022527272732,2.29668075248796e-05
"8042874","TTC31",0.454667381818182,2.32561038591583e-05
"7963713","ATP5G2",0.429167981818178,2.35314992557811e-05
"8040340","LPIN1",0.682340363636362,2.38177714763257e-05
"7990830","MESDC2",0.449298272727275,2.39785893209125e-05
"8010512","RPTOR",0.612477309090912,2.40595591918709e-05
"7991216","DET1",0.492227109090911,2.41678143454958e-05
"7948744","GANAB",0.576549854545455,2.43218690217219e-05
"8140196","STAG3L5P-PVRIG2P-PILRB///STAG3L2///STAG3L3///STAG3L1///STAG3",0.626872763636365,2.4454152021489e-05
"7948667","AHNAK",0.781882654545454,2.56164020768652e-05
"8080162","ABHD14A",0.552408309090909,2.63388959081222e-05
"7977955","PPP1R3E///HOMEZ",0.389584854545455,2.6482261634158e-05
"7925364","HEATR1",0.77942489090909,2.65006270465128e-05
"8079563","DHX30",0.577754254545454,2.66965310937558e-05
"8053834","ANKRD36///ANKRD36B",0.891194381818183,2.67180956790623e-05
"8179519","HLA-DPB1",0.752987272727273,2.71964820773132e-05
"7944991","STT3A",0.605134199999998,2.75861181395007e-05
"7948379","OSBP",0.368791890909094,2.76226987218562e-05
"7963670","MAP3K12",0.452738381818182,2.76790585337032e-05
"8123062","TMEM181",0.661433945454544,2.78031218753611e-05
"7996685","EDC4",0.445054272727276,2.81663041451528e-05
"8132055","MTURN",-0.700898218181814,2.8194724041051e-05
"8119858","POLH",0.603114963636365,2.83219567574731e-05
"7920114","THEM4",0.686514400000002,2.84211448248523e-05
"8139392","DDX56",0.501103472727277,2.84431301194276e-05
"8055060","WDR33",0.477028799999999,2.84576431205063e-05
"8115076","CSF1R",0.750017309090913,2.86684795290678e-05
"8105267","ITGA2",-0.509722127272726,2.8894362733626e-05
"8106660","RASGRF2",0.897482600000002,2.90931544236188e-05
"7955110","DKFZP779L1853",0.940776745454547,2.94328663624815e-05
"7967473","EIF2B1",0.633267618181819,2.9552061874642e-05
"8104378","PAPD7",0.451471199999999,2.9618480646652e-05
"7913256","DDOST",0.493296999999998,2.98840715120976e-05
"8009227","PSMC5",0.502519654545456,3.03382461358848e-05
"7955450","LETMD1",0.448071709090911,3.04694959172886e-05
"8008664","AKAP1",0.587084636363636,3.09639894423333e-05
"8136401","NUP205",0.629138618181821,3.12719568718283e-05
"7963869","PHC1",0.518236072727274,3.13952556137218e-05
"8102050","SLC9B2",0.572910054545455,3.14215639719446e-05
"8072242","NF2",0.438319272727274,3.16942172536627e-05
"7901091","TOE1",0.437233072727272,3.19470402987812e-05
"7977373","MTA1",0.488086945454548,3.22210452107285e-05
"8080100","RAD54L2",0.486202290909091,3.24785634613993e-05
"8007799","MGC57346",0.80422989090909,3.29617641090074e-05
"8163023","IKBKAP",0.619780181818184,3.37480765460288e-05
"7997982","CDK10",0.402598309090909,3.38069211223705e-05
"7918487","DENND2D",0.778540963636363,3.39051593859607e-05
"8180230","DDX19A",0.445447872727275,3.44325913705585e-05
"8062576","DHX35",0.456605890909092,3.45170266019393e-05
"8079590","CAMP",-0.735138563636365,3.47233887566162e-05
"8180359","PDE4DIP",0.67173861818182,3.50051612438893e-05
"7953812","PHC1",0.512583000000004,3.51088935620812e-05
"8065612","NOL4L",0.453664672727273,3.56883624008651e-05
"8069744","RWDD2B",0.739711636363639,3.60206844293487e-05
"7926096","TAF3",0.36021198181818,3.60534233547603e-05
"8158686","FUBP3",0.456381436363635,3.66172421313863e-05
"7993946","EEF2K",0.410360636363639,3.67704966767082e-05
"8086344","CX3CR1",1.12140776363637,3.70591893191704e-05
"7994269","KDM8",0.422514036363634,3.73229738740382e-05
"8126588","XPO5",0.621831545454547,3.78053690634921e-05
"7901804","PATJ",0.965602145454546,3.78275673533846e-05
"7941946","NDUFV1",0.45019390909091,3.79256924555432e-05
"7991224","HAPLN3",0.685694763636365,3.80181716361414e-05
"8121130","",0.860242690909093,3.80567895302994e-05
"7902439","",-0.607271127272726,3.80999440929931e-05
"7984364","SMAD3",0.752679672727275,3.82225601512318e-05
"7992870","ZNF263",0.465555054545454,3.82767492981908e-05
"8133610","STAG3L5P-PVRIG2P-PILRB///STAG3L2///STAG3L3///STAG3L1",0.615864727272729,3.85526909582039e-05
"8100210","TXK",0.965304327272731,3.86353309960802e-05
"7951246","MMP8",-2.34950754545454,3.89994936843091e-05
"8139977","STAG3L5P-PVRIG2P-PILRB///STAG3L2///STAG3L3///STAG3L1",0.610389290909094,3.94326295248468e-05
"7964300","ZBTB39",0.430071272727274,3.9823201579596e-05
"8028916","SNRPA",0.686136036363639,4.01280167508882e-05
"7977077","MARK3",-0.565180909090907,4.02862468982454e-05
"7906056","MSTO2P///MSTO1",0.45179401818182,4.030428636539e-05
"7911897","C1orf174",0.460474000000003,4.14662258749235e-05
"8071566","PPIL2",0.444695963636367,4.16945459716463e-05
"8106516","JMY",0.750164563636363,4.17163886297654e-05
"7944223","KMT2A",0.618962309090909,4.17988062542038e-05
"7931914","IL2RA",0.530078872727272,4.19419999249579e-05
"8109368","G3BP1",0.600775509090909,4.22212905132549e-05
"7999889","GDE1",-0.650153236363634,4.26496051256667e-05
"7991427","VPS33B",0.382534272727272,4.28117766143464e-05
"8143417","KIAA1549///BRAF///BRAF",-0.291088,4.30101976454225e-05
"8057771","STAT4",1.13136872727273,4.33060742790617e-05
"7960575","NOP2",0.429405745454545,4.34571485229552e-05
"7935251","TCTN3",0.769170545454547,4.36772046028711e-05
"7956242","COQ10A",0.56811301818182,4.5081733901327e-05
"7994362","SGF29",0.609542090909093,4.54298883551034e-05
"7918457","KCNA3",0.884001999999999,4.58384037379245e-05
"8168968","GPRASP1",0.607257218181819,4.62234083945897e-05
"8012257","TP53",0.758015018181821,4.65652804126441e-05
"8073513","CCDC134",0.421992145454547,4.68966382860663e-05
"7997025","PDPR",0.959613836363639,4.72615111420084e-05
"8142886","UBE2H",-0.829759818181818,4.75604001105377e-05
"7979916","SYNJ2BP-COX16///SYNJ2BP",0.678719690909092,4.79138214074008e-05
"8025697","ILF3",0.572801054545456,4.8040682156977e-05
"7938111","TIMM10B",0.639290854545456,4.8287936300283e-05
"7913187","TMCO4",0.346697836363638,4.83166399328395e-05
"8056222","DPP4",1.12036989090909,4.85341505208502e-05
"8156770","GALNT12",0.528751254545456,4.86474169101594e-05
"8175052","AIFM1",0.543578399999999,4.89762097916576e-05
"8093156","NCBP2",0.607735872727273,4.95674825857828e-05
"7959361","MLXIP",-0.522278727272726,4.97666116683782e-05
"7907396","C1orf105",-0.380691327272727,4.98477702010055e-05
"7994237","LCMT1",0.439313763636363,4.9869325842277e-05
"7996393","CBFB",0.487821963636364,5.07976760858275e-05
"7912257","CLSTN1",0.472797872727276,5.09149695076561e-05
"8139256","URGCP-MRPS24///URGCP",0.444161890909093,5.13878434338064e-05
"8012856","ELAC2",0.693823000000002,5.15075699856486e-05
"7980309","C14orf1",0.716015963636366,5.16591738348865e-05
"8076137","SUN2",0.480918036363637,5.16832275549977e-05
"8154793","NFX1",0.546340945454547,5.17734455705048e-05
"8052908","CLEC4F",0.478548181818183,5.17906828897238e-05
"7906185","NAXE///NAXE",0.705692472727274,5.22131489223064e-05
"7950086","NUMA1",0.40841152727273,5.2537929873117e-05
"8014925","MED24",0.374506109090911,5.28949549116259e-05
"8128138","MDN1",0.446064200000002,5.31877599376022e-05
"8029958","GLTSCR2",0.629182872727272,5.38678462882597e-05
"8177851","C6orf136",0.357567509090909,5.3903556862906e-05
"8179167","C6orf136",0.357567509090909,5.3903556862906e-05
"8073457","XRCC6",0.594872909090908,5.39056652190345e-05
"8061138","PET117///KAT14",0.502163163636363,5.43317482622244e-05
"8036010","PEPD",0.860074490909088,5.46043110094931e-05
"7906564","PEA15",0.860730345454545,5.47045091687132e-05
"8048370","BCS1L",0.418123781818184,5.49142175584713e-05
"7904287","CD2",1.09206958181818,5.52179642878571e-05
"8127109","ICK",0.60618963636364,5.56855527719535e-05
"7934215","SPOCK2",0.862672472727274,5.59774127846502e-05
"8089261","CBLB",0.791302490909091,5.66069691377818e-05
"8076455","RRP7A",0.472529309090908,5.6784925609853e-05
"8007904","GOSR2",0.502775381818184,5.71645384189237e-05
"8161017","SIT1",0.800112145454545,5.73627203068183e-05
