"","Symbol","log2FoldChange","pvalue"
"69","PRKCZ-AS1",0.0253811837141789,0.837243294573574
"70","FAAP20",-0.0106164598264481,0.908087403251117
"71","LOC112268219",0.233536049473676,0.0332256792557696
"72","SKI",-0.312633530449431,0.00195767627620186
"73","MORN1",0.445650665348114,0.00158660520941198
"74","LOC100129534",0.769463796674819,7.46321861590298e-05
"75","RER1",-0.220087840311821,2.6466895337218e-06
"76","PEX10",0.189773648941073,0.00168123418360238
"77","PLCH2",4.12031600909089,2.1540671798708e-95
"78","PANK4",-0.105694382811789,0.10080194554028
"79","TNFRSF14-AS1",-0.280019456440638,0.00143493858285151
"80","TNFRSF14",-0.329180518384632,0.00011562859164614
"81","LOC100996583",0.363713981684748,0.00758692940182833
"82","PRXL2B",0.402112046404299,7.44362128767133e-05
"83","MMEL1",-0.0114793603089093,0.928031826896887
"84","TTC34",1.29668525047483,4.87652360477642e-08
"85","MEGF6",-0.121347563017273,0.465089347464987
"86","TPRG1L",-0.499216366047066,2.02803594197051e-10
"87","WRAP73",-0.420605663397357,9.3950147941224e-11
"88","TP73",0.326525633346068,0.0842898823374473
"89","TP73-AS1",0.932364000333185,1.10718098648916e-24
"90","LRRC47",0.209992280435559,2.89753691204743e-07
"91","CEP104",0.300071929296793,3.59205100283778e-07
"92","DFFB",0.616074692900125,5.34435481108461e-22
"93","LOC107984910",0.524345223139213,0.0142037786590728
"94","C1orf174",0.377989620820613,2.51349136296711e-12
"95","LINC01134",-0.603642889970934,0.00219454579773172
"96","LOC107985376",-0.764656053192119,0.000306100748033113
"97","AJAP1",2.08985266764323,1.76936183834614e-09
"98","NPHP4",0.0424660574243032,0.598596987151203
"99","KCNAB2",-0.255604887711256,0.000167433186023146
"100","CHD5",-0.0272266348762027,0.915257542816915
"101","RPL22",1.0414465458026,1.50570477966433e-26
"102","RNF207",1.22836418188144,1.34651685534915e-08
"103","ICMT",0.469927394512883,7.69211560231932e-08
"104","GPR153",1.16826412669438,3.43860946967402e-08
"105","ACOT7",0.114767617139474,0.418972055745758
"106","ESPN",4.3261990554172,1.38056413983033e-43
"107","TNFRSF25",4.49117882192274,1.63054429826818e-48
"108","PLEKHG5",4.80219713876659,7.73093944933389e-42
"109","NOL9",1.03029665782167,6.85811817138799e-36
"110","ZBTB48",-0.287514091215929,7.49918216121982e-05
"111","KLHL21",-0.526735988223393,2.89128335543501e-08
"112","LOC107984913",-0.564839620137062,0.00112181444349061
"113","PHF13",-0.17598256056558,0.0182320900011789
"114","THAP3",0.265728554204363,9.38484143866532e-06
"115","DNAJC11",0.588608908187867,2.33224812242664e-15
"116","CAMTA1",-0.00498067565928874,0.952092195019903
"117","VAMP3",-0.840537926517662,8.81471076716401e-23
"118","PER3",1.29306190066245,9.9306914198159e-18
"119","UTS2",0.743256118903016,0.000121682243690688
"120","TNFRSF9",-0.747181105721463,7.3093822663462e-06
"121","PARK7",-0.289956742949459,3.43634249541448e-10
"122","ERRFI1",0.558295046483782,2.85141529157904e-05
"123","RERE",-0.574128071565946,9.40636984884591e-09
"124","RERE-AS1",-0.609330679637014,8.16011930630769e-08
"125","ENO1",-0.71491696560343,1.12674568425644e-14
"126","LOC112268261",3.71285460517701,1.64519758034688e-19
"127","CA6",4.24260708897355,9.21911946121369e-23
"128","SLC2A5",-2.63744032580067,4.64932763970326e-17
"129","GPR157",-0.343239786907402,0.0691677370721972
"130","MIR34AHG",-0.583140648323768,0.0445811576614612
"131","H6PD",-0.639233644330761,1.80804484699327e-10
"132","SPSB1",0.550588437923085,2.83224526173709e-05
"133","SLC25A33",0.476526305498702,6.86672631400666e-07
"134","TMEM201",1.03026817858322,9.55409211759176e-19
"135","PIK3CD",-0.629294697001397,1.32895239822614e-14
"136","PIK3CD-AS1",-0.70739471132898,1.62125008377227e-09
"137","PIK3CD-AS2",-0.486667487518871,0.00570727414295619
