Gene.symbol,logFC,P.Value
UBD,0.983193545,9.10395315663691e-05
TNIP3,0.458511875,9.35448368577065e-05
HLA-DOA,0.781803313,9.42136197858092e-05
ACSL5,0.678307196,9.45000243641221e-05
HAPLN3,0.62742575,9.50681519753085e-05
UBD,0.979683714,9.5578687123267e-05
FMNL1,0.618469009,0.000100318
FGD2,0.643453482,0.00010112
LINC00299,0.343472304,0.000101765
ELMO1,0.642450286,0.000103259
HLA-DPB1,0.725288929,0.000105406
FAM49A,0.724841304,0.000107457
LOC105369230///HLA-DRB6///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///LOC105369230///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1,0.571979821,0.000108257
PLEKHO2,0.416276643,0.000108984
TMEM71,0.671245973,0.000110867
FMNL3,0.500754804,0.00011302
CX3CR1,1.148094366,0.000113615
APOBEC3G,0.708802071,0.000114783
CDH3,-0.529091929,0.000115182
BLM,0.460329357,0.00011579
GBP2,0.9930395,0.000116492
HLA-C///HLA-B///HLA-B,0.360386429,0.000117396
FGFBP2,0.603583938,0.000118781
LILRB3,0.633214152,0.000118789
LILRA3,0.816199482,0.000118988
ERG,0.542805143,0.000120858
MAP3K8,0.396945446,0.000121553
PILRA,0.550808429,0.000121938
IGSF6,1.060077768,0.00012268
HLA-DPA1,0.721092411,0.000124715
HLA-DPA1,0.721092411,0.000124715
SLC25A5-AS1,-0.259952134,0.000126383
NUPR2,-0.242574643,0.000129002
HLA-C///HLA-B///HLA-B,0.365846339,0.000129539
HLA-DPB2,0.387467089,0.000129784
TCF24,-0.250973661,0.000130152
HIST2H3D///HIST2H3A///HIST2H3C,0.36526308,0.000131097
PRSS50,-0.3491275,0.000132664
HSP90AA1,-0.300298482,0.000132743
FCGR1CP///FCGR1B///FCGR1A,1.359582375,0.000133829
LOC105369230///HLA-DRB6///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///LOC105369230///HLA-DRB5///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1,0.544449286,0.000134234
HERPUD1,-0.350840625,0.000139895
CD69,0.885885607,0.000140544
ROBO4,0.482550241,0.000141147
CCL8,0.59830983,0.00014184
FAM65B,0.796984902,0.000143194
CDR1,-1.039782107,0.000143995
TIGIT,0.672696536,0.000144277
NKG7,0.954139687,0.000147275
CYBB,1.020345616,0.000147286
CD37,1.008740589,0.000147772
HIST2H3D///HIST2H3A///HIST2H3C,0.339931196,0.000150385
S1PR1,0.398544589,0.000151466
GIMAP7,0.659601973,0.000155097
LRRC25,0.543836848,0.000155939
SLC9A3R2,0.369451705,0.000157534
TAGAP,0.650934679,0.00016012
CORO1A,0.992941125,0.000160572
,0.234066473,0.000163581
IFIT2,0.512318518,0.000163826
SLAMF8,0.955998777,0.000166927
IFNG,0.556325321,0.000168329
ARNTL2,0.519905098,0.000171728
CASP4,0.472567196,0.000172056
HIST1H3D///HIST1H2AD,0.363329509,0.000172241
EBI3,0.481479214,0.000174419
SFTA2,-0.216191518,0.00017445
,0.360608223,0.000175302
HLA-DQB2///HLA-DQB1,0.7513075,0.000175392
SLA,0.797517152,0.00017751
HSP90AB2P,-0.271801821,0.000179372
NLRC5,0.569627562,0.000179747
SNORA3B,-0.293236241,0.000181299
PELI1,0.366875491,0.000181994
STAT1,0.703131339,0.000182228
,-0.263087643,0.000184191
,-0.661526348,0.000186789
CD1D,0.411334027,0.000187955
PAG1,0.559369304,0.000188784
,0.361005018,0.000198132
WAS,0.453272357,0.0001984
NCF1C///NCF1B///NCF1,0.431720045,0.000201631
NXPE3,0.492701652,0.000205138
,-0.484919125,0.000206014
,0.511971402,0.000206801
S100A4,0.684373402,0.000206881
BBS5,-0.347697286,0.000208646
PTPRE,0.535319589,0.000209563
HCAR2,0.428540259,0.000209725
KLRD1,0.995799027,0.000210635
SLC15A3,0.489036911,0.000211648
FLI1,0.628368491,0.000212495
RTN1,0.452595687,0.000215335
NFIA,-0.348101812,0.000220082
GBP2,1.042961482,0.000221047
MS4A14///MS4A7,0.959369482,0.000223845
CD274,0.511587295,0.00022488
TFPI2,0.892966071,0.000226891
SPIC///SPIC,1.210363634,0.000228166
PTPRC,1.264662411,0.000228213
PLEK,1.14367117,0.000229941
VAV1,0.75228625,0.000231306
PLEKHO1,0.4973215,0.000235888
CD1B,0.466375152,0.000237499
SLC30A1,-0.345221313,0.00023894
UBE2L6,0.375303875,0.000242187
TAP2,0.54223692,0.000245905
PSMB10,0.407694187,0.000246039
ATAD2,0.468860187,0.000251876
IL15RA,0.445975696,0.000254603
MAFB,0.432664536,0.000255565
FDCSP,0.553190875,0.000256022
FN1,0.515456018,0.000256164
BUB1B,0.282536134,0.000262609
DAPP1,0.784381991,0.000267508
XCL1,0.904750911,0.000270204
CD300LF,0.384248973,0.000270945
FNBP1,0.35007325,0.000270951
,0.371032045,0.00027423
SLC16A6,0.467209857,0.000275102
STAT4,0.771268964,0.000278432
CKLF-CMTM1///CMTM1///CKLF///RHOQ///CMTM1///CKLF,0.254801348,0.000279806
HIST1H2AI,0.308324187,0.000280157
LCP2,0.927146437,0.000281032
LAT2,0.348936911,0.000281473
HLA-C///HLA-B///HLA-A///HLA-B///HLA-A,0.312504107,0.000282302
HSP90AA2P,-0.479405134,0.000282544
PTDSS2,-0.263250241,0.000284856
BATF,0.305994321,0.000285337
BCL6B,0.367396723,0.000285579
GNG11,0.677221705,0.000286253
,0.229283188,0.000288049
TBXAS1,0.610947866,0.000288123
MMRN2,0.48187275,0.000293056
HIST1H3I,0.87919433,0.00029321
PARVG,0.758378054,0.000294195
PTGS2,0.618074,0.000294956
,0.387217589,0.000295028
KIAA0101,0.432430134,0.000296497
GNAI2,0.31229375,0.000298261
MARCKS,0.334052768,0.000300729
,0.473035705,0.000302477
SHH,-0.222352455,0.000302674
BST2,0.570850384,0.000303127
CRTAM,0.561194241,0.000306291
TAP2,0.541702554,0.000306996
GNA15,0.467572259,0.000307487
ADGRE4P,0.434551152,0.000309369
LOC100996333///ADGRA3,-0.379636438,0.000310539
GPR18,0.728705571,0.000312619
ARHGAP25,0.641212795,0.000312884
,0.448881,0.00031312
ZNF366,0.281432018,0.000313458
ITGAL,1.075652411,0.000314735
PSTPIP2,0.551486795,0.000314817
HLA-C///HLA-B///HLA-A///HLA-B///HLA-A,0.296150357,0.000314995
RAB40B,-0.373350509,0.000316592
NCKAP1L,1.047563714,0.000316942
CSTA,0.427907098,0.000318976
DLGAP5,0.560854277,0.000324793
ISCA1,-0.492476955,0.000324991
B2M,0.447430625,0.000327317
HLA-F///HLA-B,0.495966089,0.00033005
CLEC7A,0.55277067,0.000332548
BTK,0.786023295,0.000336449
ADGRE2,0.821436795,0.000341348
,0.391140679,0.00034208
SAMSN1,0.655414455,0.000344216
HIST1H3B,0.494075937,0.000344637
,-0.593843598,0.000344661
LILRA2,0.563904089,0.000345414
ITGA5,0.483144571,0.000347348
TBX21,0.314405375,0.000348957
GPR1,0.306960661,0.000349527
HCLS1,0.760815143,0.000351077
RNVU1-1,-0.607353857,0.000351985
RNVU1-1,-0.607353857,0.000351985
TNFRSF1B,0.582605411,0.000352258
LRRC8C,0.429459214,0.000353448
BRCA2,0.373831375,0.0003607
GCAT,-0.329335455,0.000362465
HLA-DQB2///HLA-DQB1,0.693917616,0.00036368
CLEC2B,0.664966384,0.000365084
CRLF3,0.446156571,0.000370749
CSF1,0.384245125,0.000371365
HLA-F///HLA-B,0.49585775,0.000376263
CYTH4,0.790191402,0.000377948
LINC00472,-0.423219973,0.000385435
,-0.662895071,0.000390247
C1QA,0.849166348,0.000390643
NCF1C///NCF1B///NCF1,0.429086071,0.000392429
LGALS1,0.536110411,0.00039914
,-0.344551741,0.000399367
,0.467066696,0.000403349
HLA-H///HLA-F///HLA-E///HLA-B///HLA-A///HLA-A,0.391031696,0.000404429
HLA-H///HLA-F///HLA-E///HLA-B///HLA-A///HLA-A,0.391031696,0.000404429
MNDA,0.677313089,0.000404589
,0.417502473,0.000404845
PLXNB1,-0.227428,0.00040773
MOB3B,-0.260560634,0.000408963
GCSAM,0.588371866,0.000410324
CD180,1.072761929,0.000411542
LY75-CD302///LY75,0.666063152,0.000412223
NCF1C///NCF1B///NCF1,0.435177268,0.000412931
IFI27,0.659355054,0.000416259
,0.350051,0.00041747
VSIG8,-0.25378275,0.00042818
JAML,1.005819089,0.000428673
DTHD1,0.514874027,0.000430678
VASH1,0.305303152,0.000432554
SNORD116-22,-0.717494955,0.000432687
,-0.412121732,0.00043442
,-0.564775723,0.00043877
MLKL,0.513782705,0.000444557
GZMB,0.448406804,0.000447315
C1QC,1.004163054,0.000456378
SELL,1.031604857,0.000457305
CCDC85C,-0.360443179,0.000458159
NHSL2,0.253243982,0.00045854
ARHGAP23,0.355646491,0.000459509
HLA-H///HLA-F///HLA-E///HLA-B///HLA-A///HLA-A,0.383133929,0.00045995
ACKR1,1.009105098,0.000460638
DOCK10,0.884644536,0.00046381
,-0.428705411,0.000466066
ADGRL4,0.628180723,0.000466609
,-0.445249804,0.000474809
TAP2,0.511508089,0.00047481
CCNE2,0.419352098,0.000477494
PYHIN1,0.824025161,0.000481256
CA10,-0.448230214,0.000485982
SELPLG,0.925521241,0.000489289
DCLRE1B,0.222789402,0.000491645
EVI2B,0.99227325,0.000493576
CD14,0.745292,0.000493833
TNFAIP3,0.699762411,0.000494726
SAMD3,0.627190839,0.00049745
ZEB1,0.419855786,0.000497459
CD247,0.614024259,0.00050523
ICOS,0.786958723,0.000506099
PLAC8,1.331344313,0.000512092
MYO1F,0.623026491,0.00051213
PKN1,0.315905946,0.000512296
PLVAP,0.497069089,0.000513561
,0.334652116,0.000516298
MYO1G,0.655596,0.000519019
,0.7263995,0.000526494
C3AR1,0.887228259,0.000529796
MIR223,0.675554723,0.000530372
CUL7,-0.216026411,0.000531766
PRR5L,0.503167482,0.000532477
LOC100128816,0.574719732,0.000532494
VASP,0.259865286,0.000535962
VSIG1,0.482347348,0.000537576
CAV1,0.673706884,0.000538407
MFNG,0.528066054,0.000538697
KIR2DS2///KIR3DL3///KIR3DS1///KIR3DL2///KIR3DL1///KIR2DS4///KIR2DS1///KIR2DL3///KIR2DL2///KIR2DL1///KIR3DS1///KIR3DL2///KIR3DL1,1.162764982,0.000540698
ST13P5,-0.384412036,0.000545148
CST7,0.713207696,0.000546441
RHOJ,0.64174367,0.000548422
GCSAML,0.306712884,0.000551407
,-0.662518571,0.000552816
P2RY10,0.995470562,0.000553664
,0.421526134,0.000554481
NSMF,-0.440448795,0.000555445
XCR1,0.850864607,0.000555543
HLA-C///HLA-B///HLA-C///HLA-B,0.316083304,0.000555771
CD38,0.992387982,0.000561004
FAM83H,-0.18348575,0.000562969
IL21R,0.381979464,0.000563609
SGMS2,-0.388662705,0.000565561
TYMP,0.460555652,0.000567727
NFIB,-0.25300783,0.000567884
ACVR2B,-0.186923232,0.000573902
SIGLEC9,0.351994545,0.000576113
C1QB,0.902127714,0.000581712
TNFSF13B,0.719489446,0.000583467
KLRB1,0.957015509,0.000583644
PLAUR,0.399066902,0.000583823
F8,-0.372374321,0.000583824
TM4SF18,0.452042295,0.000597661
EVI2A,0.875142795,0.000599371
ARHGAP31,0.325881866,0.000602414
IL10RA,0.912489071,0.000604631
NACC2,-0.265019107,0.000606762
ST13P4///ST13P5///ST13,-0.271957589,0.000606871
CMKLR1,0.70088858,0.00060776
RAD51,0.254299545,0.000608389
SRGAP2D///SRGAP2C///SRGAP2B///SRGAP2,0.315173429,0.000608899
KIF18A,0.311563705,0.00060962
CDC42BPG,-0.197454839,0.000610422
AQP9,0.732448946,0.000613253
LYPD5,0.475905411,0.000619986
MND1,0.259231857,0.000623696
PMP22,0.547040491,0.000623839
HORMAD1,0.412092562,0.000628452
P2RY13,0.81111908,0.000634101
IRAK2,0.268257241,0.000635984
KIF14,0.243811857,0.000640622
ASPM,0.38070558,0.000647811
NAV1,0.343531929,0.000648129
,-0.447159857,0.000658465
ITGA9,0.303868777,0.000660922
NFATC2///NFATC2,0.512762134,0.000662922
MCTP1,0.7060065,0.00066597
SS18L2,0.219178268,0.000673733
FAM86C1,-0.261922991,0.000673778
FAM110C,-0.302229348,0.000675286
DPY19L2P1,-0.564033179,0.000676215
TEK,0.539274134,0.000676351
C6orf141,0.238681688,0.000678379
ITK,0.890689973,0.000680704
ZSCAN5B,0.408663946,0.000683728
HIST1H3H,0.438696946,0.000685458
GPR65,0.884691277,0.000689545
AIF1,0.661871473,0.00069312
AIF1,0.661871473,0.00069312
AIF1,0.661871473,0.00069312
,0.609267071,0.000695656
,0.609267071,0.000695656
SERPINB9,0.746713768,0.00069679
TMC7,0.367001161,0.000702234
RASL10A,-0.300401598,0.000705353
CENPF,0.376380902,0.000708161
EGR2,0.376602384,0.000711773
DOCK2,0.92450042,0.000711805
,0.34881033,0.000724323
PIK3C2B,0.354687143,0.000725019
TMED10P1,-0.311388259,0.000726401
NDC80,0.315595018,0.00073439
FAM72A///FAM72D///FAM72B,0.542846018,0.00074445
HENMT1,0.22897308,0.000746515
MX2,0.706366536,0.000752728
LMO2,0.227628348,0.000754185
,0.344689223,0.000757715
LRTOMT,-0.313014473,0.000761009
,0.442743518,0.000765949
APC2,-0.248567554,0.000771632
EMILIN2,0.349480616,0.000772024
CD40LG,0.609930821,0.000775471
CIITA,0.501057884,0.000776166
FAM78A,0.50473408,0.000784588
