"","Gene.symbol","logFC","P.Value"
"7937465","TALDO1",-0.192929050000002,0.027862314027308
"7985480","SNHG21///SCARNA15///SNHG21",0.252491387500001,0.0278882268993794
"8038515","VRK3",-0.287409649999999,0.0279452121286282
"8095535","ENAM",-0.421104237499998,0.0280719717433334
"7974341","GNG2",0.356780475000001,0.0280964048685362
"8038202","BCAT2",-0.3118578375,0.0281293022244179
"8175155","FRMD7",-0.683898437499998,0.0286045331678
"8024446","SPPL2B",-0.263566362500001,0.0287445271113295
"8138504","RAPGEF5",0.392920900000003,0.0287666255886152
"8011430","ITGAE",0.208612487500002,0.0289252568768287
"7939751","NR1H3",-0.2655416,0.029268237185291
"7915056","EPHA10",-0.219075112499999,0.029619485466751
"7939492","C11orf96",-0.259900137500001,0.0296739111465501
"8118734","ITPR3",0.4502293,0.0297026454152152
"8144228","FLJ36840",0.467573650000002,0.0297695878345853
"7992682","FLJ42627",-0.362521037499998,0.0298812434293095
"8101874","ADH1A",0.384300112499999,0.0301683710046383
"8033445","CD209///CLEC4M",0.559100850000001,0.0305914772019108
"8016094","GJC1",0.233173950000001,0.0305988556258458
"8151583","",0.169960762500001,0.0306968163843597
"7927876","TET1",0.3209777875,0.0307302807975709
"8157638","MRRF",-0.2316868875,0.0307599685018748
"7990457","MAN2C1",-0.212370475,0.0307700279987198
"8126853","PTCHD4",0.538276275000001,0.0307788424391715
"7940717","SLC3A2",-0.505529812499999,0.0310683320616584
"8056890","CHN1",0.3907323625,0.0311346267712273
"7915084","YRDC",-0.194493937499998,0.0311413751040156
"8148621","RHPN1",-0.226324487499997,0.0313100317645293
"8013243","SHMT1",-0.438857562499999,0.0313543687407905
"7954012","BORCS5",-0.257800575000001,0.031363678237737
"7942279","FAM86C1",-0.242343862500001,0.0314256044061586
"8060893","",0.43389625,0.0314517512418886
"7994152","CACNG3",0.280821499999998,0.0314826676235079
"8119196","",0.275475887500002,0.03168937827045
"8059211","MIR153-1",0.2663599,0.0317625299244083
"7932790","",0.230985387500001,0.0317667845129706
"7917182","ADGRL4",0.543665337500002,0.0318775192759725
"8130837","FRMD1",-0.3834926625,0.0319168949365684
"7943749","LAYN",0.3911695625,0.0320169103010141
"8005574","",0.28930555,0.0320215012887136
"7919600","",-1.04498315,0.0320393191722011
"7930714","ATRNL1",0.565494237499999,0.0322857923826581
"8068024","JAM2",0.634204875000003,0.0323335698814848
"8163002","KLF4",0.361712687499999,0.0324057338036993
"8146649","MTFR1",-0.352937262499998,0.0324079230603101
"7999160","CDIP1",-0.2912249375,0.0325915874384357
"8075217","AP1B1",-0.193719987499996,0.0328041189071002
"8160297","PLIN2",-0.4582675625,0.0328079732211704
"7947815","ACP2",-0.287393874999998,0.0328818769482748
"8091411","TM4SF1",0.382174000000001,0.0330343934799962
"7978132","IPO4",-0.253322112499998,0.0330428403213967
"8005809","LGALS9",0.351326675000002,0.0332363926335602
"8081107","",0.2726799125,0.0332631991048067
"8127419","",-0.266389612499998,0.0335230725922505
"7906808","",0.2002782,0.0337103360692147
"7973116","METTL17",-0.224652612500003,0.033787483211187
"8128626","PDSS2",-0.34446455,0.0338206469742973
"8016841","TMEM100",0.335051275,0.0340960881176447
"8043405","",0.212169075,0.0341059098916757
"7991750","HBZ",0.3505433,0.0342198692217393
"8059538","SLC19A3",-0.3987154625,0.0343595191401428
"7928589","PPIF",-0.233055762499998,0.0343617774317652
"8029701","PPM1N",0.350109700000001,0.034394578444115
"7919394","LINC01138",0.306022025,0.0344277882403439
"8132660","RAMP3",0.33117895,0.0344317827460336
"8170159","BRS3",0.357900625000002,0.0344899999574901
"7943367","",0.286442174999999,0.0345394863742566
"7906652","NIT1",-0.343564975,0.0346509280797126
"8024882","",-0.234271600000001,0.0346960236115582
"8019367","RFNG",-0.230277575000001,0.0348875460183896
"7980344","ZDHHC22",-0.325053699999999,0.03490711356608
"8008768","PPM1E",-0.330629699999999,0.0351756023886628
"7911329","LOC100134822///LINC00266-1///PCMTD2",0.541293175000002,0.0353969587226707
"7924092","SLC30A1",-0.288667412499999,0.0354633912670974
"7991110","LOC102724093///GOLGA6L3///GOLGA6L10///GOLGA6L4///GOLGA6L17P///GOLGA6L9///GOLGA6L5P",0.226098124999999,0.035595984742267
"8067942","MIR99A",0.344226925000001,0.0355978735642416
"8076569","TTLL12",-0.203046162499997,0.0357433872249238
"7957530","LOC400590",0.253196612499998,0.0358444172390927
"8054377","FHL2",0.348716700000002,0.0360007551443427
"7998929","",-0.521296437500001,0.0360049766356463
"8056257","FAP",0.3709673,0.0360931140026692
"8046895","FAM171B",0.395824899999999,0.0363073980322072
"7974080","MIA2",-0.4307754,0.0364291440804013
"7974835","PRKCH",0.478444425000003,0.0364359116201247
"7958819","ERP29",-0.184243725,0.036762819112868
"8099537","",0.254389400000002,0.0368087292424073
"8144931","ATP6V1B2",-0.369222875,0.0370797351582115
"7924184","FLVCR1-AS1",0.2727789,0.0372062708081968
"8116177","PHYKPL",-0.271525562500001,0.0375288560260896
"7906264","PEAR1",0.197749437500001,0.0376703834847217
"7970441","GJB2",-0.347686587499997,0.0376989154237532
"8065903","",0.241847637500002,0.0377557530766922
"8119918","C6orf223",-0.221158162500001,0.0377622515700576
