Gene.symbol,logFC,P.Value
CD247,0.691689529,2.92079912433445e-07
EMP3,0.691783593,2.97172154650627e-07
UBD,1.001427564,3.04871553896584e-07
ICAM2,0.565179393,3.08162019130944e-07
ACSL5,0.676390843,3.10560734917831e-07
PDCD1LG2,0.944420593,3.13880721436272e-07
SPI1,0.529312986,3.14228898895603e-07
PLAC8,1.49418555,3.19315662308748e-07
UBD,1.005556486,3.2303377151887e-07
NLRC5,0.62279175,3.28913194327843e-07
HVCN1,0.450402771,3.29167389859659e-07
NCKAP1L,1.082049936,3.43776473133641e-07
GIMAP2,0.766320707,3.50991122873972e-07
HLA-DQB2///HLA-DQB1,0.742734414,3.61009308960708e-07
CD33,0.623000571,3.61251712624606e-07
FLI1,0.660518236,3.62216683703031e-07
AQP9,0.90549625,3.65270609737868e-07
NKG7,1.004826443,3.7263104041437e-07
NOD2,0.415813314,3.78656852218186e-07
SLAMF8,0.992306486,3.92907416744569e-07
FGD2,0.63776715,4.08812024105535e-07
HLA-C///HLA-B///HLA-C///HLA-B,0.358336571,4.10359321764497e-07
GIMAP4,0.787654643,4.1408525453119e-07
CD80,0.657393321,4.20868467476455e-07
CSF2RB,0.731620436,4.26976841488496e-07
IL10RA,0.976733936,4.29106817347862e-07
CFP,0.513868893,4.32226503172944e-07
MYO1G,0.73945345,4.34316562785755e-07
CLEC7A,0.654042371,4.37721887023358e-07
KLRD1,1.088961486,4.49111909370172e-07
CYBB,1.064606064,4.66847929054962e-07
DOCK2,1.039937836,4.70925997797945e-07
ENG,0.428738729,4.74750407675975e-07
TIGIT,0.664581314,4.8624359191897e-07
PILRA,0.560768286,5.0675404943246e-07
MNDA,0.725242314,5.07658462405108e-07
VAV1,0.747458329,5.13379836755377e-07
HLA-F///HLA-B,0.550746871,5.16000402904099e-07
ADGRE2,0.895183236,5.25505698442917e-07
FCGR1CP///FCGR1B///FCGR1A,1.185466107,5.27150039209039e-07
FAM83H,-0.2138169,5.47065683799169e-07
FCGR1CP///FCGR1B///FCGR1A,1.164109271,5.5281867948368e-07
CYTH4,0.817796236,5.79515967301395e-07
TLR4,0.623068386,6.06405252409506e-07
TLR7,0.875606864,6.24204659915436e-07
TBXAS1,0.628867771,6.26987581573004e-07
GNA15,0.497405236,6.3515233486968e-07
ITGAL,1.149406243,6.48616771800653e-07
HLA-F///HLA-B,0.556493507,6.6606951694374e-07
GCSAM,0.638099314,6.90072659278361e-07
MS4A14///MS4A7,0.969713486,7.14346720524511e-07
PARVG,0.775003329,7.22234023952198e-07
ITK,1.0090844,7.42726191096678e-07
ARPC1B,0.648427286,7.45969624652777e-07
PTPRE,0.5836897,7.83518004656119e-07
EVI2A,0.975492364,8.00854414964153e-07
STX11,0.889278471,8.23195417983849e-07
LRRC25,0.585785693,8.23258006618041e-07
HAPLN3,0.584553307,8.43374532924325e-07
BTK,0.834705436,8.75008711494838e-07
RTN1,0.441752536,8.86180149172613e-07
GBP2,1.014718464,8.88699982528156e-07
PLEKHO2,0.410551379,8.98667777774267e-07
XCR1,0.905540879,8.99443265398195e-07
CD180,1.10281365,9.26775877078599e-07
CD1D,0.442110936,9.83442406772727e-07
