"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","s-52","s-53","s-92","s-93","s-42","s-43","s-82","s-83"
"33","CDC25C",60.9206025890147,5.92197192170951,1.03550061280712,5.71894583978635,1.07186950603559e-08,5.32686663605567e-07,1.42434237218051,147.513067016033,7.05288387995771,108.061170899457,0,103.780259436498,0,119.533097107992
"34","KCNN3",136.238551613183,5.24824939965592,0.918646285185447,5.71302522449809,1.10985220350152e-08,5.35340474630144e-07,8.54605423308306,320.755157348815,17.6322096998943,382.552320337494,0,137.299349440833,2.09194578951226,221.03137605583
"35","NDC80",264.872590900854,3.12204585591801,0.552150231781106,5.65434129375809,1.56445075527714e-08,7.3305692532986e-07,35.6085593045128,578.903024626872,54.6598500696723,418.046865523447,88.4022992533013,488.605196601649,40.7929428954891,413.961988931887
"36","MMP9",88.8938206617133,5.95112023573041,1.05820444063992,5.62379064685423,1.86812032004449e-08,8.51032590242489e-07,7.12171186090255,114.922970814816,1.76322096998943,94.6521204958747,0,431.880582748159,2.09194578951226,58.718012614452
"37","HIST1H3F",1010.95736392574,4.0162352923815,0.723374669002459,5.55208174198293,2.82287529931318e-08,1.25122040293882e-06,149.555949078954,3253.8638154583,183.3749808789,2359.20410335968,71.1061972254814,1487.7319178847,66.9422652643924,515.879682255543
"38","CDCA3",182.064510242634,4.44238915765133,0.803918082164245,5.52592267323044,3.27758476646022e-08,1.41453658341967e-06,22.7894779548882,391.938788525157,22.9218726098626,404.637815119865,0,342.281476775034,17.7815392108542,254.165111745414
"39","UBE2C",284.132157184993,5.05530567288347,0.925269529813607,5.46360331772932,4.66565511283332e-08,1.9619677910376e-06,37.0329016766933,776.158870055288,22.9218726098626,638.901813347155,0,467.978064291289,6.27583736853678,323.787898131121
"40","TUBB1",392.810414733569,-6.10310920310664,1.11999083099822,-5.44924925650247,5.05828813476977e-08,2.0738981352556e-06,51.2763253984984,3.43053644223332,1197.22703862282,11.8315150619843,59.5754625402682,5.15678307758996,1789.65962292774,24.3260337974158
"41","KIF14",265.926834598346,4.84380362850518,0.89413536489839,5.41730460359952,6.05042137445884e-08,2.42016854978354e-06,25.6381626992492,599.486243280272,38.7908613397674,494.557329590946,0,476.357836792372,7.32181026329292,485.262432820864
"42","EXO1",420.375814485555,3.53876342300501,0.661265604317974,5.35150081888029,8.72277431395003e-08,3.40603568449477e-06,86.8848847030112,916.810864186854,121.662246929271,762.738337662591,26.9050475988308,788.343212986565,31.3791868426839,628.282734974637
"43","PKMYT1",198.13015851375,4.82929576326811,0.924762025064865,5.22220380203153,1.76806223741086e-07,6.7433071380321e-06,28.4868474436102,563.465610636822,21.1586516398731,409.370421144658,0,311.340778309494,4.18389157902452,247.035067356516
"44","PLK1",537.935662763039,4.58466489344158,0.8798667095725,5.21063570602544,1.88194663548166e-07,7.01452836861345e-06,122.493444007524,1236.70838742511,29.9747564898203,1176.84136483204,5.7653673426066,994.614536090163,13.5976476318297,723.489798285213
"45","CCNA2",552.821363049511,4.87783988629475,0.940289853864656,5.18759174763663,2.13030979486971e-07,7.76379569685849e-06,82.6118575864696,1279.59009295303,40.5540823097568,1159.48847607447,0,981.07798051149,21.9654307898787,857.282984171
